"DateTime","Players"
"2026-02-24 06:40:00",356
"2026-02-24 06:50:00",463
"2026-02-24 07:00:00",539
"2026-02-24 07:10:00",514
"2026-02-24 07:20:00",557
"2026-02-24 07:30:00",597
"2026-02-24 07:40:00",612
"2026-02-24 07:50:00",706
"2026-02-24 08:00:00",771
"2026-02-24 08:10:00",767
"2026-02-24 08:20:00",811
"2026-02-24 08:30:00",787
"2026-02-24 08:40:00",783
"2026-02-24 08:50:00",772
"2026-02-24 09:00:00",810
"2026-02-24 09:10:00",791
"2026-02-24 09:20:00",802
"2026-02-24 09:30:00",792
"2026-02-24 09:40:00",820
"2026-02-24 09:50:00",862
"2026-02-24 10:00:00",866
"2026-02-24 10:10:00",901
"2026-02-24 10:20:00",909
"2026-02-24 10:30:00",920
"2026-02-24 10:40:00",988
"2026-02-24 10:50:00",970
"2026-02-24 11:00:00",974
"2026-02-24 11:10:00",1015
"2026-02-24 11:20:00",1108
"2026-02-24 11:30:00",1150
"2026-02-24 11:40:00",1133
"2026-02-24 11:50:00",1170
"2026-02-24 12:00:00",1227
"2026-02-24 12:10:00",1253
"2026-02-24 12:20:00",1244
"2026-02-24 12:30:00",1287
"2026-02-24 12:40:00",1272
"2026-02-24 12:50:00",1281
"2026-02-24 13:00:00",1266
"2026-02-24 13:10:00",1328
"2026-02-24 13:20:00",1334
"2026-02-24 13:30:00",1443
"2026-02-24 13:40:00",1447
"2026-02-24 13:50:00",1435
"2026-02-24 14:00:00",1468
"2026-02-24 14:10:00",1475
"2026-02-24 14:20:00",1542
"2026-02-24 14:30:00",1520
"2026-02-24 14:40:00",1604
"2026-02-24 14:50:00",1685
"2026-02-24 15:00:00",1739
"2026-02-24 15:10:00",1798
"2026-02-24 15:20:00",1864
"2026-02-24 15:30:00",2068
"2026-02-24 15:40:00",2283
"2026-02-24 15:50:00",2382
"2026-02-24 16:00:00",2559
"2026-02-24 16:10:00",2662
"2026-02-24 16:20:00",2739
"2026-02-24 16:30:00",2903
"2026-02-24 16:40:00",3048
"2026-02-24 16:50:00",3249
"2026-02-24 17:00:00",3352
"2026-02-24 17:10:00",3531
"2026-02-24 17:20:00",3557
"2026-02-24 17:30:00",3659
"2026-02-24 17:40:00",3783
"2026-02-24 17:50:00",3820
"2026-02-24 18:00:00",3630
"2026-02-24 18:10:00",3494
"2026-02-24 18:20:00",3571
"2026-02-24 18:30:00",3737
"2026-02-24 18:40:00",3967
"2026-02-24 18:50:00",4337
"2026-02-24 19:00:00",4964
"2026-02-24 19:10:00",5076
"2026-02-24 19:20:00",5236
"2026-02-24 19:30:00",5473
"2026-02-24 19:40:00",5531
"2026-02-24 19:50:00",5510
"2026-02-24 20:00:00",5599
"2026-02-24 20:10:00",5782
"2026-02-24 20:20:00",5882
"2026-02-24 20:30:00",5907
"2026-02-24 20:40:00",6082
"2026-02-24 20:50:00",6002
"2026-02-24 21:00:00",6002
"2026-02-24 21:10:00",5956
"2026-02-24 21:20:00",5926
"2026-02-24 21:30:00",6020
"2026-02-24 21:40:00",5894
"2026-02-24 21:50:00",5547
"2026-02-24 22:00:00",5079
"2026-02-24 22:10:00",4984
"2026-02-24 22:20:00",4885
"2026-02-24 22:30:00",4510
"2026-02-24 22:40:00",4228
"2026-02-24 22:50:00",4065
"2026-02-24 23:00:00",3817
"2026-02-24 23:10:00",3413
"2026-02-24 23:20:00",3257
"2026-02-24 23:30:00",3009
"2026-02-24 23:40:00",2790
"2026-02-24 23:50:00",2529
"2026-02-25 00:00:00",2407
"2026-02-25 00:10:00",2234
"2026-02-25 00:20:00",2082
"2026-02-25 00:30:00",1840
"2026-02-25 00:40:00",1741
"2026-02-25 00:50:00",1621
"2026-02-25 01:00:00",1510
"2026-02-25 01:10:00",1414
"2026-02-25 01:20:00",1321
"2026-02-25 01:30:00",1181
"2026-02-25 01:40:00",1071
"2026-02-25 01:50:00",977
"2026-02-25 02:00:00",924
"2026-02-25 02:10:00",888
"2026-02-25 02:20:00",831
"2026-02-25 02:30:00",763
"2026-02-25 02:40:00",710
"2026-02-25 02:50:00",643
"2026-02-25 03:00:00",639
"2026-02-25 03:10:00",604
"2026-02-25 03:20:00",599
"2026-02-25 03:30:00",559
"2026-02-25 03:40:00",517
"2026-02-25 03:50:00",440
"2026-02-25 04:00:00",386
"2026-02-25 04:10:00",340
"2026-02-25 04:40:00",328
"2026-02-25 04:50:00",321
"2026-02-25 05:00:00",305
"2026-02-25 05:10:00",258
"2026-02-25 05:20:00",262
"2026-02-25 05:30:00",266
"2026-02-25 05:40:00",265
"2026-02-25 05:50:00",260
"2026-02-25 06:00:00",262
"2026-02-25 06:10:00",283
"2026-02-25 06:20:00",314
"2026-02-25 06:30:00",380
"2026-02-25 06:40:00",417
"2026-02-25 06:50:00",451
"2026-02-25 07:00:00",515
"2026-02-25 07:10:00",574
"2026-02-25 07:20:00",579
"2026-02-25 07:30:00",612
"2026-02-25 07:40:00",635
"2026-02-25 07:50:00",713
"2026-02-25 08:00:00",740
"2026-02-25 08:10:00",722
"2026-02-25 08:20:00",742
"2026-02-25 08:30:00",705
"2026-02-25 08:40:00",653
"2026-02-25 08:50:00",649
"2026-02-25 09:00:00",642
"2026-02-25 09:10:00",639
"2026-02-25 09:20:00",631
"2026-02-25 09:30:00",654
"2026-02-25 09:40:00",586
"2026-02-25 09:50:00",603
"2026-02-25 10:00:00",669
"2026-02-25 10:10:00",680
