"DateTime","Players"
"2020-06-07 20:00:00",1400
"2020-06-08 20:00:00",1469
"2020-06-09 20:00:00",1417
"2020-06-10 20:00:00",1321
"2020-06-11 20:00:00",1293
"2020-06-12 20:00:00",1370
"2020-06-13 20:00:00",1269
"2020-06-14 20:00:00",1158
"2020-06-15 20:00:00",1259
"2020-06-16 20:00:00",1232
"2020-06-17 20:00:00",1057
"2020-06-18 20:00:00",1120
"2020-06-19 20:00:00",1265
"2020-06-20 20:00:00",1110
"2020-06-21 20:00:00",1065
"2020-06-22 20:00:00",1206
"2020-06-23 20:00:00",1245
"2020-06-24 20:00:00",1091
"2020-06-25 20:00:00",1070
"2020-06-26 20:00:00",1196
"2020-06-27 20:00:00",1106
"2020-06-28 20:00:00",1050
"2020-06-29 20:00:00",1044
"2020-06-30 20:00:00",1000
"2020-07-01 20:00:00",1007
"2020-07-02 20:00:00",1054
"2020-07-03 20:00:00",1049
"2020-07-04 20:00:00",928
"2020-07-05 20:00:00",937
"2020-07-06 20:00:00",967
"2020-07-07 20:00:00",1117
"2020-07-08 20:00:00",1178
"2020-07-09 20:00:00",1092
"2020-07-10 20:00:00",943
"2020-07-11 20:00:00",1150
"2020-07-12 20:00:00",1103
"2020-07-13 20:00:00",1105
"2020-07-14 20:00:00",1222
"2020-07-15 20:00:00",1230
"2020-07-16 20:00:00",1214
"2020-07-17 20:00:00",1182
"2020-07-18 20:00:00",1161
"2020-07-19 20:00:00",1165
"2020-07-20 20:00:00",1140
"2020-07-21 20:00:00",1132
"2020-07-22 20:00:00",1082
"2020-07-23 20:00:00",1105
"2020-07-24 20:00:00",1012
"2020-07-25 20:00:00",960
"2020-07-26 20:00:00",807
"2020-07-27 20:00:00",1024
"2020-07-28 20:00:00",1025
"2020-07-29 20:00:00",1050
"2020-07-30 20:00:00",1091
"2020-07-31 20:00:00",994
"2020-08-01 20:00:00",1033
"2020-08-02 20:00:00",839
"2020-08-03 20:00:00",949
"2020-08-04 20:00:00",919
"2020-08-05 20:00:00",922
"2020-08-06 20:00:00",899
"2020-08-07 20:00:00",1001
"2020-08-08 20:00:00",904
"2020-08-09 20:00:00",784
"2020-08-10 20:00:00",997
"2020-08-11 20:00:00",1149
"2020-08-12 20:00:00",1207
"2020-08-13 20:00:00",1257
"2020-08-14 20:00:00",1329
"2020-08-15 20:00:00",1435
"2020-08-16 20:00:00",1277
"2020-08-17 20:00:00",1152
"2020-08-18 20:00:00",1150
"2020-08-19 20:00:00",1037
"2020-08-20 20:00:00",1157
"2020-08-21 20:00:00",1170
"2020-08-22 20:00:00",1032
"2020-08-23 20:00:00",1065
"2020-08-24 20:00:00",1029
"2020-08-25 20:00:00",1079
"2020-08-26 20:00:00",1137
"2020-08-27 20:00:00",1092
"2020-08-28 20:00:00",1183
"2020-08-29 20:00:00",1236
"2020-08-30 20:00:00",1123
"2020-08-31 20:00:00",995
"2020-09-01 20:00:00",1077
"2020-09-02 20:00:00",1061
"2020-09-03 20:00:00",1037
"2020-09-04 20:00:00",1071
"2020-09-05 20:00:00",1147
"2020-09-06 20:00:00",1149
"2020-09-07 20:00:00",1030
"2020-09-08 20:00:00",1298
"2020-09-09 20:00:00",1351
"2020-09-10 20:00:00",1379
"2020-09-11 20:00:00",2094
"2020-09-12 20:00:00",2246
"2020-09-13 20:00:00",1999
"2020-09-14 20:00:00",1669
"2020-09-15 20:00:00",1756
"2020-09-16 20:00:00",1569
"2020-09-17 20:00:00",1958
"2020-09-18 20:00:00",2268
"2020-09-19 20:00:00",2179
"2020-09-20 20:00:00",1911
"2020-09-21 20:00:00",1581
"2020-09-22 20:00:00",1549
"2020-09-23 20:00:00",1572
"2020-09-24 20:00:00",1567
"2020-09-25 20:00:00",1433
"2020-09-26 20:00:00",1307
"2020-09-27 20:00:00",1253
"2020-09-28 20:00:00",1095
"2020-09-29 20:00:00",1255
"2020-09-30 20:00:00",1247
"2020-10-01 20:00:00",1274
"2020-10-02 20:00:00",1507
"2020-10-03 20:00:00",1491
"2020-10-04 20:00:00",1357
"2020-10-05 20:00:00",1447
"2020-10-06 20:00:00",1198
"2020-10-07 20:00:00",1243
"2020-10-08 20:00:00",1201
"2020-10-10 20:00:00",1319
"2020-10-11 20:00:00",1200
"2020-10-12 20:00:00",1205
"2020-10-13 20:00:00",1118
"2020-10-14 20:00:00",1095
"2020-10-15 20:00:00",1146
"2020-10-16 20:00:00",1444
"2020-10-17 20:00:00",1380
"2020-10-18 20:00:00",1259
"2020-10-19 20:00:00",1361
"2020-10-20 20:00:00",1401
"2020-10-21 20:00:00",1328
"2020-10-22 20:00:00",1388
"2020-10-23 20:00:00",2166
"2020-10-24 20:00:00",1817
"2020-10-25 20:00:00",2192
"2020-10-26 20:00:00",1884
"2020-10-27 20:00:00",2381
"2020-10-28 20:00:00",2399
"2020-10-29 20:00:00",2628
"2020-10-30 20:00:00",2700
"2020-10-31 20:00:00",2076
"2020-11-01 19:00:00",2372
"2020-11-02 19:00:00",2168
"2020-11-03 19:00:00",2165
"2020-11-04 19:00:00",2035
"2020-11-05 19:00:00",2033
"2020-11-06 19:00:00",2288
"2020-11-07 19:00:00",2505
"2020-11-08 19:00:00",1877
"2020-11-09 19:00:00",1629
"2020-11-10 19:00:00",1719
"2020-11-11 19:00:00",1637
"2020-11-12 19:00:00",1523
"2020-11-13 19:00:00",1569
"2020-11-14 19:00:00",1801
"2020-11-15 19:00:00",1333
"2020-11-16 19:00:00",1268
"2020-11-17 19:00:00",1330
"2020-11-18 19:00:00",1419
"2020-11-19 19:00:00",1569
"2020-11-20 19:00:00",1808
"2020-11-21 19:00:00",1788
"2020-11-22 19:00:00",1640
"2020-11-23 19:00:00",1540
"2020-11-24 19:00:00",1570
"2020-11-25 19:00:00",1637
"2020-11-26 19:00:00",1425
"2020-11-27 19:00:00",1809
"2020-11-28 19:00:00",1722
"2020-11-29 19:00:00",1499
"2020-11-30 19:00:00",1370
"2020-12-01 19:00:00",1345
"2020-12-02 19:00:00",1353
"2020-12-04 19:00:00",1619
"2020-12-05 19:00:00",1621
"2020-12-06 19:00:00",1459
"2020-12-07 19:00:00",1471
"2020-12-08 19:00:00",1487
"2020-12-09 19:00:00",1442
"2020-12-10 19:00:00",1420
"2020-12-11 19:00:00",1874
"2020-12-12 19:00:00",1965
"2020-12-13 19:00:00",1725
"2020-12-14 19:00:00",1560
"2020-12-15 19:00:00",2041
"2020-12-16 19:00:00",2439
"2020-12-17 19:00:00",2376
"2020-12-18 19:00:00",2666
"2020-12-19 19:00:00",2555
"2020-12-20 19:00:00",2503
"2020-12-21 19:00:00",2624
"2020-12-22 19:00:00",2355
"2020-12-23 19:00:00",2306
"2020-12-24 19:00:00",1673
"2020-12-25 19:00:00",1717
"2020-12-26 19:00:00",1755
"2020-12-27 19:00:00",1606
"2020-12-28 19:00:00",1636
"2020-12-29 19:00:00",1691
"2020-12-30 19:00:00",1706
"2020-12-31 19:00:00",1663
"2021-01-01 19:00:00",1604
"2021-01-02 19:00:00",1711
"2021-01-03 19:00:00",1598
"2021-01-04 19:00:00",1611
"2021-01-05 19:00:00",1529
"2021-01-06 19:00:00",1477
"2021-01-07 19:00:00",1454
"2021-01-08 19:00:00",1626
"2021-01-09 19:00:00",1682
"2021-01-10 19:00:00",1543
"2021-01-11 19:00:00",1505
"2021-01-12 19:00:00",1496
"2021-01-13 19:00:00",1515
"2021-01-14 19:00:00",1507
"2021-01-15 19:00:00",1723
"2021-01-16 19:00:00",1911
"2021-01-17 19:00:00",1728
"2021-01-18 19:00:00",1634
"2021-01-19 19:00:00",1575
"2021-01-20 19:00:00",1639
"2021-01-21 19:00:00",1661
"2021-01-22 19:00:00",1869
"2021-01-23 19:00:00",1862
"2021-01-24 19:00:00",1565
"2021-01-25 19:00:00",1719
"2021-01-26 19:00:00",1774
"2021-01-27 19:00:00",1747
"2021-01-28 19:00:00",1816
"2021-01-29 19:00:00",2116
"2021-01-30 19:00:00",1980
"2021-01-31 19:00:00",1982
"2021-02-01 19:00:00",2340
"2021-02-02 19:00:00",2357
"2021-02-03 19:00:00",2485
"2021-02-04 19:00:00",2561
"2021-02-05 19:00:00",2962
"2021-02-06 19:00:00",2743
"2021-02-07 19:00:00",2341
"2021-02-08 19:00:00",1906
"2021-02-09 19:00:00",2132
"2021-02-10 19:00:00",2300
"2021-02-11 19:00:00",2407
"2021-02-12 19:00:00",2625
"2021-02-13 19:00:00",2576
"2021-02-14 19:00:00",2288
"2021-02-15 19:00:00",2190
"2021-02-16 19:00:00",1948
"2021-02-17 19:00:00",1857
"2021-02-18 19:00:00",1703
"2021-02-19 19:00:00",2059
"2021-02-20 19:00:00",1884
"2021-02-21 19:00:00",1605
"2021-02-22 19:00:00",1570
"2021-02-23 19:00:00",1457
"2021-02-24 19:00:00",1428
"2021-02-25 19:00:00",1336
"2021-02-26 19:00:00",1712
"2021-02-27 19:00:00",1779
"2021-02-28 19:00:00",1334
"2021-03-01 19:00:00",1266
"2021-03-02 19:00:00",1444
"2021-03-03 19:00:00",1349
"2021-03-04 19:00:00",1407
"2021-03-05 19:00:00",1705
"2021-03-06 19:00:00",1514
"2021-03-07 19:00:00",1427
"2021-03-08 19:00:00",1318
"2021-03-09 19:00:00",1303
"2021-03-10 19:00:00",1343
"2021-03-11 19:00:00",1276
"2021-03-12 19:00:00",1598
"2021-03-13 19:00:00",1301
"2021-03-14 20:00:00",1392
"2021-03-15 20:00:00",1340
"2021-03-16 20:00:00",1432
"2021-03-17 20:00:00",1443
"2021-03-18 20:00:00",1490
"2021-03-19 20:00:00",1719
"2021-03-20 20:00:00",1913
"2021-03-21 20:00:00",1536
"2021-03-22 20:00:00",1438
"2021-03-23 20:00:00",1583
"2021-03-24 20:00:00",1385
"2021-03-25 20:00:00",1295
"2021-03-26 20:00:00",1701
"2021-03-27 20:00:00",1538
"2021-03-28 20:00:00",1420
"2021-03-29 20:00:00",1367
"2021-03-30 20:00:00",1277
"2021-03-31 20:00:00",1323
"2021-04-01 20:00:00",1606
"2021-04-02 20:00:00",1433
"2021-04-03 20:00:00",1226
"2021-04-04 20:00:00",1181
"2021-04-05 20:00:00",1204
"2021-04-06 20:00:00",1260
"2021-04-07 20:00:00",1428
"2021-04-08 20:00:00",812
"2021-04-09 20:00:00",1593
"2021-04-10 20:00:00",2872
"2021-04-11 20:00:00",2643
"2021-04-12 20:00:00",3177
"2021-04-13 20:00:00",3260
"2021-04-14 20:00:00",3388
"2021-04-15 20:00:00",3237
"2021-04-16 20:00:00",4074
"2021-04-17 20:00:00",3420
"2021-04-18 20:00:00",2907
"2021-04-19 20:00:00",2328
"2021-04-20 20:00:00",2116
"2021-04-21 20:00:00",2229
"2021-04-22 20:00:00",2111
"2021-04-23 20:00:00",2365
"2021-04-24 20:00:00",2403
"2021-04-25 20:00:00",2030
"2021-04-26 20:00:00",1739
"2021-04-27 20:00:00",1664
"2021-04-28 20:00:00",1685
"2021-04-29 20:00:00",1506
"2021-04-30 20:00:00",1716
