"DateTime","Players"
"2026-02-27 12:00:00",651
"2026-02-27 12:10:00",648
"2026-02-27 12:20:00",659
"2026-02-27 12:30:00",655
"2026-02-27 12:40:00",656
"2026-02-27 12:50:00",665
"2026-02-27 13:00:00",665
"2026-02-27 13:10:00",635
"2026-02-27 13:20:00",640
"2026-02-27 13:30:00",686
"2026-02-27 13:40:00",717
"2026-02-27 13:50:00",722
"2026-02-27 14:00:00",739
"2026-02-27 14:10:00",754
"2026-02-27 14:20:00",816
"2026-02-27 14:30:00",871
"2026-02-27 14:40:00",949
"2026-02-27 14:50:00",999
"2026-02-27 15:00:00",3
"2026-02-27 15:10:00",2248
"2026-02-27 15:20:00",2482
"2026-02-27 15:30:00",2548
"2026-02-27 15:40:00",2528
"2026-02-27 15:50:00",2490
"2026-02-27 16:00:00",2406
"2026-02-27 16:10:00",2375
"2026-02-27 16:20:00",2308
"2026-02-27 16:30:00",2295
"2026-02-27 16:40:00",2230
"2026-02-27 16:50:00",2150
"2026-02-27 17:00:00",2102
"2026-02-27 17:10:00",2008
"2026-02-27 17:20:00",1928
"2026-02-27 17:30:00",1890
"2026-02-27 17:40:00",1840
"2026-02-27 17:50:00",1806
"2026-02-27 18:00:00",1768
"2026-02-27 18:10:00",1730
"2026-02-27 18:20:00",1698
"2026-02-27 18:30:00",1701
"2026-02-27 18:40:00",1638
"2026-02-27 18:50:00",1587
"2026-02-27 19:00:00",1560
"2026-02-27 19:10:00",1533
"2026-02-27 19:20:00",1480
"2026-02-27 19:30:00",1479
"2026-02-27 19:40:00",1468
"2026-02-27 19:50:00",1457
"2026-02-27 20:00:00",1410
"2026-02-27 20:10:00",1391
"2026-02-27 20:20:00",1362
"2026-02-27 20:30:00",1334
"2026-02-27 20:40:00",1327
"2026-02-27 20:50:00",1333
"2026-02-27 21:00:00",1324
"2026-02-27 21:10:00",1296
"2026-02-27 21:20:00",1282
"2026-02-27 21:30:00",1225
"2026-02-27 21:40:00",1190
"2026-02-27 21:50:00",1182
"2026-02-27 22:00:00",1186
"2026-02-27 22:10:00",1174
"2026-02-27 22:20:00",1169
"2026-02-27 22:30:00",1175
"2026-02-27 22:40:00",1178
"2026-02-27 22:50:00",1144
"2026-02-27 23:00:00",1121
"2026-02-27 23:10:00",1078
"2026-02-27 23:20:00",1065
"2026-02-27 23:30:00",1064
"2026-02-27 23:40:00",1056
"2026-02-27 23:50:00",1037
"2026-02-28 00:00:00",998
"2026-02-28 00:10:00",1009
"2026-02-28 00:20:00",1011
"2026-02-28 00:30:00",1001
"2026-02-28 00:40:00",1003
"2026-02-28 00:50:00",981
"2026-02-28 01:00:00",997
"2026-02-28 01:10:00",984
"2026-02-28 01:20:00",1007
"2026-02-28 01:30:00",1032
"2026-02-28 01:40:00",1033
"2026-02-28 01:50:00",1059
"2026-02-28 02:00:00",1041
"2026-02-28 02:10:00",1094
"2026-02-28 02:20:00",1108
"2026-02-28 02:30:00",1137
"2026-02-28 02:40:00",1162
"2026-02-28 02:50:00",1191
"2026-02-28 03:00:00",1205
"2026-02-28 03:10:00",1224
"2026-02-28 03:20:00",1255
"2026-02-28 03:30:00",1282
"2026-02-28 03:40:00",1318
"2026-02-28 03:50:00",1360
"2026-02-28 04:00:00",1369
"2026-02-28 04:10:00",1389
"2026-02-28 04:20:00",1379
"2026-02-28 04:30:00",1438
"2026-02-28 04:40:00",1486
"2026-02-28 04:50:00",1476
"2026-02-28 05:00:00",1481
"2026-02-28 05:10:00",1500
"2026-02-28 05:20:00",1483
"2026-02-28 05:30:00",1488
"2026-02-28 05:40:00",1539
"2026-02-28 05:50:00",1517
"2026-02-28 06:00:00",1522
"2026-02-28 06:10:00",1516
"2026-02-28 06:20:00",1513
"2026-02-28 06:30:00",1543
"2026-02-28 06:40:00",1574
"2026-02-28 06:50:00",1559
"2026-02-28 07:00:00",1613
"2026-02-28 07:10:00",1642
"2026-02-28 07:20:00",1660
"2026-02-28 07:30:00",1705
"2026-02-28 07:40:00",1705
"2026-02-28 07:50:00",1689
"2026-02-28 08:00:00",1694
"2026-02-28 08:10:00",1686
"2026-02-28 08:20:00",1666
"2026-02-28 08:30:00",1684
"2026-02-28 08:40:00",1661
"2026-02-28 08:50:00",1676
"2026-02-28 09:00:00",1657
"2026-02-28 09:10:00",1711
"2026-02-28 09:20:00",1736
"2026-02-28 09:30:00",1760
"2026-02-28 09:40:00",1803
"2026-02-28 09:50:00",1788
"2026-02-28 10:00:00",1793
"2026-02-28 10:10:00",1824
"2026-02-28 10:20:00",1845
"2026-02-28 10:30:00",1869
"2026-02-28 10:40:00",1877
"2026-02-28 10:50:00",1881
"2026-02-28 11:00:00",1891
"2026-02-28 11:10:00",1891
"2026-02-28 11:20:00",1901
"2026-02-28 11:30:00",1922
"2026-02-28 11:40:00",1886
"2026-02-28 11:50:00",1909
"2026-02-28 12:00:00",1943
"2026-02-28 12:10:00",1960
"2026-02-28 12:20:00",1968
"2026-02-28 12:30:00",1961
"2026-02-28 12:40:00",1969
"2026-02-28 12:50:00",1962
"2026-02-28 13:00:00",1973
"2026-02-28 13:10:00",1978
"2026-02-28 13:20:00",1960
"2026-02-28 13:30:00",1967
"2026-02-28 13:40:00",2005
"2026-02-28 13:50:00",2018
"2026-02-28 14:00:00",2023
"2026-02-28 14:10:00",2034
"2026-02-28 14:20:00",2040
"2026-02-28 14:30:00",2046
"2026-02-28 14:40:00",2040
"2026-02-28 14:50:00",1948
"2026-02-28 15:00:00",1942
"2026-02-28 15:10:00",1925
"2026-02-28 15:20:00",1909
"2026-02-28 15:30:00",1868
"2026-02-28 15:40:00",1853
"2026-02-28 15:50:00",1842
"2026-02-28 16:00:00",1854
"2026-02-28 16:10:00",1800
"2026-02-28 16:20:00",1744
"2026-02-28 16:30:00",1747
"2026-02-28 16:40:00",1707
"2026-02-28 16:50:00",1679
"2026-02-28 17:00:00",1679
"2026-02-28 17:10:00",1634
"2026-02-28 17:20:00",1609
"2026-02-28 17:30:00",1586
"2026-02-28 17:40:00",1551
"2026-02-28 17:50:00",1534
"2026-02-28 18:00:00",1529
"2026-02-28 18:10:00",1459
"2026-02-28 18:20:00",1425
"2026-02-28 18:30:00",1398
"2026-02-28 18:40:00",1363
"2026-02-28 18:50:00",1328
"2026-02-28 19:00:00",1291
"2026-02-28 19:10:00",1268
"2026-02-28 19:20:00",1264
"2026-02-28 19:30:00",1244
"2026-02-28 19:40:00",1224
"2026-02-28 19:50:00",1226
"2026-02-28 20:00:00",1198
"2026-02-28 20:10:00",1169
"2026-02-28 20:20:00",1167
"2026-02-28 20:30:00",1162
"2026-02-28 20:40:00",1153
"2026-02-28 20:50:00",1119
"2026-02-28 21:00:00",1115
"2026-02-28 21:10:00",1078
"2026-02-28 21:20:00",1042
"2026-02-28 21:30:00",1035
"2026-02-28 21:40:00",1022
"2026-02-28 21:50:00",1022
"2026-02-28 22:00:00",1037
"2026-02-28 22:10:00",1037
"2026-02-28 22:20:00",1020
"2026-02-28 22:30:00",1024
"2026-02-28 22:40:00",1009
"2026-02-28 22:50:00",984
"2026-02-28 23:00:00",995
"2026-02-28 23:10:00",1016
"2026-02-28 23:20:00",1032
"2026-02-28 23:30:00",1019
"2026-02-28 23:40:00",1041
"2026-02-28 23:50:00",1057
"2026-03-01 00:00:00",1049
"2026-03-01 00:10:00",1048
"2026-03-01 00:20:00",1014
"2026-03-01 00:30:00",1055
"2026-03-01 00:40:00",1074
"2026-03-01 00:50:00",1061
"2026-03-01 01:00:00",1046
"2026-03-01 01:10:00",1046
"2026-03-01 01:20:00",1015
"2026-03-01 01:30:00",1000
"2026-03-01 01:40:00",1020
"2026-03-01 01:50:00",1020
"2026-03-01 02:00:00",1029
"2026-03-01 02:10:00",1024
"2026-03-01 02:20:00",1039
"2026-03-01 02:30:00",1033
"2026-03-01 02:40:00",1033
"2026-03-01 02:50:00",1037
"2026-03-01 03:00:00",1073
"2026-03-01 03:10:00",1081
"2026-03-01 03:20:00",1093
"2026-03-01 03:30:00",1111
"2026-03-01 03:40:00",1115
"2026-03-01 03:50:00",1148
"2026-03-01 04:00:00",1167
"2026-03-01 04:10:00",1212
"2026-03-01 04:20:00",1212
"2026-03-01 04:30:00",1212
"2026-03-01 04:40:00",1235
"2026-03-01 04:50:00",1233
"2026-03-01 05:00:00",1247
"2026-03-01 05:10:00",1247
"2026-03-01 05:20:00",1267
"2026-03-01 05:30:00",1296
"2026-03-01 05:40:00",1285
"2026-03-01 05:50:00",1289
"2026-03-01 06:00:00",1328
"2026-03-01 06:10:00",1331
"2026-03-01 06:20:00",1326
"2026-03-01 06:30:00",1337
"2026-03-01 06:40:00",1375
"2026-03-01 06:50:00",1393
"2026-03-01 07:00:00",1418
"2026-03-01 07:10:00",1441
"2026-03-01 07:20:00",1444
"2026-03-01 07:30:00",1446
"2026-03-01 07:40:00",1445
"2026-03-01 07:50:00",1468
"2026-03-01 08:00:00",1481
"2026-03-01 08:10:00",1479
"2026-03-01 08:20:00",1476
"2026-03-01 08:30:00",1497
"2026-03-01 08:40:00",1496
"2026-03-01 08:50:00",1495
"2026-03-01 09:00:00",1510
"2026-03-01 09:10:00",1522
"2026-03-01 09:20:00",1511
"2026-03-01 09:30:00",1569
"2026-03-01 09:40:00",1527
"2026-03-01 09:50:00",1499
"2026-03-01 10:00:00",1523
"2026-03-01 10:10:00",1537
"2026-03-01 10:20:00",1545
"2026-03-01 10:30:00",1574
"2026-03-01 10:40:00",1629
"2026-03-01 10:50:00",1623
"2026-03-01 11:00:00",1623
"2026-03-01 11:10:00",1646
"2026-03-01 11:20:00",1648
"2026-03-01 11:30:00",1655
"2026-03-01 11:40:00",1659
"2026-03-01 11:50:00",1711
"2026-03-01 12:00:00",1710
"2026-03-01 12:10:00",1737
"2026-03-01 12:20:00",1727
"2026-03-01 12:30:00",1709
"2026-03-01 12:40:00",1705
"2026-03-01 12:50:00",1700
"2026-03-01 13:00:00",1683
"2026-03-01 13:10:00",1664
"2026-03-01 13:20:00",1669
"2026-03-01 13:30:00",1695
"2026-03-01 13:40:00",1717
"2026-03-01 13:50:00",1673
"2026-03-01 14:00:00",1667
"2026-03-01 14:10:00",1629
"2026-03-01 14:20:00",1626
"2026-03-01 14:30:00",1625
"2026-03-01 14:40:00",1590
"2026-03-01 14:50:00",1561
"2026-03-01 15:00:00",1536
"2026-03-01 15:10:00",1509
"2026-03-01 15:20:00",1491
"2026-03-01 15:30:00",1469
"2026-03-01 15:40:00",1411
"2026-03-01 15:50:00",1372
"2026-03-01 16:00:00",1334
"2026-03-01 16:10:00",1248
"2026-03-01 16:20:00",1182
"2026-03-01 16:30:00",1110
"2026-03-01 16:40:00",1104
"2026-03-01 16:50:00",1087
"2026-03-01 17:00:00",1093
"2026-03-01 17:10:00",1079
"2026-03-01 17:20:00",1074
"2026-03-01 17:30:00",1063
"2026-03-01 17:40:00",1051
"2026-03-01 17:50:00",1015
"2026-03-01 18:00:00",986
"2026-03-01 18:10:00",969
"2026-03-01 18:20:00",947
"2026-03-01 18:30:00",971
"2026-03-01 18:40:00",945
"2026-03-01 18:50:00",922
"2026-03-01 19:00:00",914
"2026-03-01 19:10:00",905
"2026-03-01 19:20:00",891
"2026-03-01 19:30:00",900
"2026-03-01 19:40:00",868
"2026-03-01 19:50:00",870
"2026-03-01 20:00:00",861
"2026-03-01 20:10:00",852
"2026-03-01 20:20:00",840
"2026-03-01 20:30:00",835
"2026-03-01 20:40:00",828
"2026-03-01 20:50:00",834
"2026-03-01 21:00:00",818
"2026-03-01 21:10:00",788
"2026-03-01 21:20:00",781
"2026-03-01 21:30:00",773
"2026-03-01 21:40:00",778
"2026-03-01 21:50:00",752
"2026-03-01 22:00:00",735
"2026-03-01 22:10:00",734
"2026-03-01 22:20:00",722
"2026-03-01 22:30:00",700
"2026-03-01 22:40:00",681
"2026-03-01 22:50:00",682
"2026-03-01 23:00:00",668
"2026-03-01 23:10:00",655
"2026-03-01 23:20:00",667
"2026-03-01 23:30:00",663
"2026-03-01 23:40:00",629
"2026-03-01 23:50:00",617
"2026-03-02 00:00:00",605
"2026-03-02 00:10:00",568
"2026-03-02 00:20:00",590
"2026-03-02 00:30:00",574
"2026-03-02 00:40:00",562
"2026-03-02 00:50:00",558
"2026-03-02 01:00:00",550
"2026-03-02 01:10:00",532
"2026-03-02 01:20:00",556
"2026-03-02 01:30:00",548
"2026-03-02 01:40:00",555
"2026-03-02 01:50:00",554
"2026-03-02 02:00:00",537
"2026-03-02 02:10:00",533
"2026-03-02 02:20:00",533
"2026-03-02 02:30:00",530
"2026-03-02 02:40:00",515
"2026-03-02 02:50:00",531
"2026-03-02 03:00:00",524
"2026-03-02 03:10:00",522
"2026-03-02 03:20:00",540
"2026-03-02 03:30:00",530
"2026-03-02 03:40:00",538
"2026-03-02 03:50:00",527
"2026-03-02 04:00:00",521
"2026-03-02 04:10:00",527
"2026-03-02 04:20:00",545
"2026-03-02 04:30:00",550
"2026-03-02 04:40:00",551
"2026-03-02 04:50:00",541
"2026-03-02 05:00:00",539
"2026-03-02 05:10:00",558
"2026-03-02 05:20:00",569
"2026-03-02 05:30:00",576
"2026-03-02 05:40:00",595
"2026-03-02 05:50:00",586
"2026-03-02 06:00:00",591
"2026-03-02 06:10:00",615
"2026-03-02 06:20:00",615
"2026-03-02 06:30:00",631
"2026-03-02 06:40:00",640
"2026-03-02 06:50:00",649
"2026-03-02 07:00:00",656
"2026-03-02 07:10:00",670
"2026-03-02 07:20:00",713
"2026-03-02 07:30:00",732
"2026-03-02 07:40:00",751
"2026-03-02 07:50:00",753
"2026-03-02 08:00:00",794
"2026-03-02 08:10:00",827
"2026-03-02 08:20:00",856
"2026-03-02 08:30:00",872
"2026-03-02 08:40:00",922
"2026-03-02 08:50:00",926
"2026-03-02 09:00:00",964
"2026-03-02 09:10:00",1003
"2026-03-02 09:20:00",1009
"2026-03-02 09:30:00",1006
"2026-03-02 09:40:00",1028
"2026-03-02 09:50:00",1020
"2026-03-02 10:00:00",1028
"2026-03-02 10:10:00",1038
"2026-03-02 10:20:00",1025
"2026-03-02 10:30:00",1054
"2026-03-02 10:40:00",1063
"2026-03-02 10:50:00",1090
"2026-03-02 11:00:00",1087
"2026-03-02 11:10:00",1106
"2026-03-02 11:20:00",1122
"2026-03-02 11:30:00",1137
"2026-03-02 11:40:00",1127
"2026-03-02 11:50:00",1094
"2026-03-02 12:00:00",1129
"2026-03-02 12:10:00",1140
"2026-03-02 12:20:00",1125
"2026-03-02 12:30:00",1160
"2026-03-02 12:40:00",1191
"2026-03-02 12:50:00",1182
"2026-03-02 13:00:00",1168
"2026-03-02 13:10:00",1149
"2026-03-02 13:20:00",1187
"2026-03-02 13:30:00",1202
"2026-03-02 13:40:00",1196
"2026-03-02 13:50:00",1181
"2026-03-02 14:00:00",1159
"2026-03-02 14:10:00",1151
"2026-03-02 14:20:00",1119
"2026-03-02 14:30:00",1085
"2026-03-02 14:40:00",1078
"2026-03-02 14:50:00",1052
"2026-03-02 15:00:00",1068
"2026-03-02 15:10:00",1050
"2026-03-02 15:20:00",1017
"2026-03-02 15:30:00",1001
"2026-03-02 15:40:00",979
"2026-03-02 15:50:00",944
"2026-03-02 16:00:00",907
"2026-03-02 16:10:00",900
"2026-03-02 16:20:00",879
"2026-03-02 16:30:00",842
"2026-03-02 16:40:00",827
"2026-03-02 16:50:00",772
"2026-03-02 17:00:00",772
"2026-03-02 17:10:00",776
"2026-03-02 17:20:00",747
"2026-03-02 17:30:00",748
"2026-03-02 17:40:00",724
"2026-03-02 17:50:00",720
"2026-03-02 18:00:00",710
"2026-03-02 18:10:00",707
"2026-03-02 18:20:00",698
"2026-03-02 18:30:00",692
"2026-03-02 18:40:00",683
"2026-03-02 18:50:00",668
"2026-03-02 19:00:00",655
"2026-03-02 19:10:00",667
"2026-03-02 19:20:00",658
"2026-03-02 19:30:00",647
"2026-03-02 19:40:00",619
"2026-03-02 19:50:00",630
"2026-03-02 20:00:00",643
"2026-03-02 20:10:00",655
"2026-03-02 20:20:00",632
"2026-03-02 20:30:00",630
"2026-03-02 20:40:00",631
"2026-03-02 20:50:00",642
"2026-03-02 21:00:00",628
"2026-03-02 21:10:00",620
"2026-03-02 21:20:00",622
"2026-03-02 21:30:00",604
"2026-03-02 21:40:00",580
"2026-03-02 21:50:00",590
"2026-03-02 22:00:00",543
"2026-03-02 22:10:00",540
"2026-03-02 22:20:00",509
"2026-03-02 22:30:00",506
"2026-03-02 22:40:00",506
"2026-03-02 22:50:00",509
"2026-03-02 23:00:00",500
"2026-03-02 23:10:00",487
"2026-03-02 23:20:00",471
"2026-03-02 23:30:00",459
"2026-03-02 23:40:00",453
"2026-03-02 23:50:00",444
"2026-03-03 00:00:00",427
"2026-03-03 00:10:00",425
"2026-03-03 00:20:00",425
"2026-03-03 00:30:00",427
"2026-03-03 00:40:00",416
"2026-03-03 00:50:00",403
"2026-03-03 01:00:00",411
"2026-03-03 01:10:00",420
"2026-03-03 01:20:00",419
"2026-03-03 01:30:00",407
"2026-03-03 01:40:00",424
"2026-03-03 01:50:00",432
"2026-03-03 02:00:00",441
"2026-03-03 02:10:00",438
"2026-03-03 02:20:00",440
"2026-03-03 02:30:00",431
"2026-03-03 02:40:00",441
"2026-03-03 02:50:00",451
"2026-03-03 03:00:00",443
"2026-03-03 03:10:00",429
"2026-03-03 03:20:00",437
"2026-03-03 03:30:00",468
"2026-03-03 03:40:00",458
"2026-03-03 03:50:00",446
"2026-03-03 04:00:00",444
"2026-03-03 04:10:00",446
"2026-03-03 04:20:00",467
"2026-03-03 04:30:00",466
"2026-03-03 04:40:00",468
"2026-03-03 04:50:00",471
"2026-03-03 05:00:00",471
"2026-03-03 05:10:00",476
"2026-03-03 05:20:00",468
"2026-03-03 05:30:00",476
"2026-03-03 05:40:00",490
"2026-03-03 05:50:00",494
"2026-03-03 06:00:00",511
"2026-03-03 06:10:00",525
"2026-03-03 06:20:00",540
"2026-03-03 06:30:00",572
"2026-03-03 06:40:00",588
"2026-03-03 06:50:00",620
"2026-03-03 07:00:00",627
"2026-03-03 07:10:00",660
"2026-03-03 07:20:00",699
"2026-03-03 07:30:00",699
"2026-03-03 07:40:00",708
"2026-03-03 07:50:00",720
"2026-03-03 08:00:00",713
"2026-03-03 08:10:00",751
"2026-03-03 08:20:00",750
"2026-03-03 08:30:00",782
"2026-03-03 08:40:00",785
"2026-03-03 08:50:00",809
"2026-03-03 09:00:00",815
"2026-03-03 09:10:00",831
"2026-03-03 09:20:00",854
"2026-03-03 09:30:00",862
"2026-03-03 09:40:00",848
"2026-03-03 09:50:00",844
"2026-03-03 10:00:00",865
"2026-03-03 10:10:00",890
"2026-03-03 10:20:00",860
"2026-03-03 10:30:00",898
"2026-03-03 10:40:00",926
"2026-03-03 10:50:00",937
"2026-03-03 11:00:00",919
"2026-03-03 11:10:00",924
"2026-03-03 11:20:00",928
"2026-03-03 11:30:00",933
"2026-03-03 11:40:00",963
"2026-03-03 11:50:00",977
"2026-03-03 12:00:00",993
"2026-03-03 12:10:00",987
"2026-03-03 12:20:00",1001
"2026-03-03 12:30:00",1019
"2026-03-03 12:40:00",1021
"2026-03-03 12:50:00",1012
"2026-03-03 13:00:00",986
"2026-03-03 13:10:00",972
"2026-03-03 13:20:00",901
"2026-03-03 13:30:00",867
"2026-03-03 13:40:00",891
"2026-03-03 13:50:00",898
"2026-03-03 14:00:00",929
"2026-03-03 14:10:00",905
"2026-03-03 14:20:00",883
"2026-03-03 14:30:00",861
"2026-03-03 14:40:00",896
"2026-03-03 14:50:00",876
"2026-03-03 15:00:00",828
"2026-03-03 15:10:00",787
"2026-03-03 15:20:00",765
"2026-03-03 15:30:00",733
"2026-03-03 15:40:00",737
"2026-03-03 15:50:00",715
"2026-03-03 16:00:00",674
"2026-03-03 16:10:00",638
"2026-03-03 16:20:00",639
"2026-03-03 16:30:00",626
"2026-03-03 16:40:00",632
"2026-03-03 16:50:00",640
"2026-03-03 17:00:00",634
"2026-03-03 17:10:00",625
"2026-03-03 17:20:00",608
"2026-03-03 17:30:00",615
"2026-03-03 17:40:00",618
"2026-03-03 17:50:00",617
"2026-03-03 18:00:00",590
"2026-03-03 18:10:00",578
"2026-03-03 18:20:00",543
"2026-03-03 18:30:00",561
"2026-03-03 18:40:00",580
"2026-03-03 18:50:00",582
"2026-03-03 19:00:00",565
"2026-03-03 19:10:00",551
"2026-03-03 19:20:00",516
"2026-03-03 19:30:00",523
"2026-03-03 19:40:00",541
"2026-03-03 19:50:00",557
"2026-03-03 20:00:00",562
"2026-03-03 20:10:00",561
"2026-03-03 20:20:00",555
"2026-03-03 20:30:00",561
"2026-03-03 20:40:00",556
"2026-03-03 20:50:00",541
"2026-03-03 21:00:00",533
"2026-03-03 21:10:00",531
"2026-03-03 21:20:00",530
"2026-03-03 21:30:00",508
"2026-03-03 21:40:00",522
"2026-03-03 21:50:00",524
"2026-03-03 22:00:00",511
"2026-03-03 22:10:00",494
"2026-03-03 22:20:00",473
"2026-03-03 22:30:00",450
"2026-03-03 22:40:00",436
"2026-03-03 22:50:00",427
"2026-03-03 23:00:00",410
"2026-03-03 23:10:00",402
"2026-03-03 23:20:00",409
"2026-03-03 23:30:00",390
"2026-03-03 23:40:00",385
"2026-03-03 23:50:00",383
"2026-03-04 00:00:00",377
"2026-03-04 00:10:00",365
"2026-03-04 00:20:00",359
"2026-03-04 00:30:00",362
"2026-03-04 00:40:00",370
"2026-03-04 00:50:00",374
"2026-03-04 01:00:00",385
"2026-03-04 01:10:00",393
"2026-03-04 01:20:00",407
"2026-03-04 01:30:00",371
"2026-03-04 01:40:00",381
"2026-03-04 01:50:00",387
"2026-03-04 02:00:00",390
"2026-03-04 02:10:00",407
"2026-03-04 02:20:00",415
"2026-03-04 02:30:00",409
"2026-03-04 02:40:00",408
"2026-03-04 02:50:00",410
"2026-03-04 03:00:00",419
"2026-03-04 03:10:00",403
"2026-03-04 03:20:00",413
"2026-03-04 03:30:00",429
"2026-03-04 03:40:00",424
"2026-03-04 03:50:00",418
"2026-03-04 04:00:00",432
"2026-03-04 04:10:00",441
"2026-03-04 04:20:00",445
"2026-03-04 04:30:00",454
"2026-03-04 04:40:00",452
"2026-03-04 04:50:00",454
"2026-03-04 05:00:00",449
"2026-03-04 05:10:00",451
"2026-03-04 05:20:00",446
"2026-03-04 05:30:00",470
"2026-03-04 05:40:00",458
"2026-03-04 05:50:00",465
"2026-03-04 06:00:00",469
"2026-03-04 06:10:00",481
"2026-03-04 06:20:00",487
"2026-03-04 06:30:00",485
"2026-03-04 06:40:00",497
"2026-03-04 06:50:00",507
"2026-03-04 07:00:00",520
"2026-03-04 07:10:00",533
"2026-03-04 07:20:00",575
"2026-03-04 07:30:00",589
"2026-03-04 07:40:00",610
"2026-03-04 07:50:00",623
"2026-03-04 08:00:00",630
"2026-03-04 08:10:00",657
"2026-03-04 08:20:00",687
"2026-03-04 08:30:00",679
"2026-03-04 08:40:00",701
"2026-03-04 08:50:00",730
"2026-03-04 09:00:00",749
"2026-03-04 09:10:00",752
"2026-03-04 09:20:00",783
"2026-03-04 09:30:00",787
"2026-03-04 09:40:00",810
"2026-03-04 09:50:00",809
"2026-03-04 10:00:00",799
"2026-03-04 10:10:00",794
"2026-03-04 10:20:00",785
"2026-03-04 10:30:00",821
