"DateTime","Players"
"2026-02-25 00:30:00",4696
"2026-02-25 00:40:00",4382
"2026-02-25 00:50:00",4171
"2026-02-25 01:00:00",3902
"2026-02-25 01:10:00",3662
"2026-02-25 01:20:00",3265
"2026-02-25 01:30:00",3087
"2026-02-25 01:40:00",2861
"2026-02-25 01:50:00",2683
"2026-02-25 02:00:00",2494
"2026-02-25 02:10:00",2284
"2026-02-25 02:20:00",2114
"2026-02-25 02:30:00",1988
"2026-02-25 02:40:00",1865
"2026-02-25 02:50:00",1747
"2026-02-25 03:00:00",1667
"2026-02-25 03:10:00",1488
"2026-02-25 03:20:00",1413
"2026-02-25 03:30:00",1353
"2026-02-25 03:40:00",1257
"2026-02-25 03:50:00",1225
"2026-02-25 04:00:00",1172
"2026-02-25 04:10:00",1116
"2026-02-25 04:40:00",956
"2026-02-25 04:50:00",914
"2026-02-25 05:00:00",911
"2026-02-25 05:10:00",886
"2026-02-25 05:20:00",880
"2026-02-25 05:30:00",863
"2026-02-25 05:40:00",901
"2026-02-25 05:50:00",895
"2026-02-25 06:00:00",883
"2026-02-25 06:10:00",923
"2026-02-25 06:20:00",994
"2026-02-25 06:30:00",1125
"2026-02-25 06:40:00",1198
"2026-02-25 06:50:00",1363
"2026-02-25 07:00:00",1461
"2026-02-25 07:10:00",1612
"2026-02-25 07:20:00",1718
"2026-02-25 07:30:00",1871
"2026-02-25 07:40:00",1970
"2026-02-25 07:50:00",2118
"2026-02-25 08:00:00",2192
"2026-02-25 08:10:00",2174
"2026-02-25 08:20:00",2101
"2026-02-25 08:30:00",2011
"2026-02-25 08:40:00",1944
"2026-02-25 08:50:00",1854
"2026-02-25 09:00:00",1820
"2026-02-25 09:10:00",1813
"2026-02-25 09:20:00",1772
"2026-02-25 09:30:00",1734
"2026-02-25 09:40:00",1677
"2026-02-25 09:50:00",1748
"2026-02-25 10:00:00",1759
"2026-02-25 10:10:00",1793
"2026-02-25 10:20:00",1888
"2026-02-25 10:30:00",1884
"2026-02-25 10:40:00",1872
"2026-02-25 10:50:00",1889
"2026-02-25 11:00:00",1852
"2026-02-25 11:10:00",1873
"2026-02-25 11:20:00",1867
"2026-02-25 11:30:00",1881
"2026-02-25 11:40:00",1886
"2026-02-25 11:50:00",1902
"2026-02-25 12:00:00",1957
"2026-02-25 12:10:00",2024
"2026-02-25 12:20:00",2176
"2026-02-25 12:30:00",2167
"2026-02-25 12:40:00",2145
"2026-02-25 12:50:00",2200
"2026-02-25 13:00:00",2190
"2026-02-25 13:10:00",2285
"2026-02-25 13:20:00",2309
"2026-02-25 13:30:00",2272
"2026-02-25 13:40:00",2282
"2026-02-25 13:50:00",2260
"2026-02-25 14:00:00",2385
"2026-02-25 14:10:00",2478
"2026-02-25 14:20:00",2576
"2026-02-25 14:30:00",2674
"2026-02-25 14:40:00",2758
"2026-02-25 14:50:00",2904
"2026-02-25 15:00:00",3027
"2026-02-25 15:10:00",3282
"2026-02-25 15:20:00",3612
"2026-02-25 15:30:00",3896
"2026-02-25 15:40:00",4213
"2026-02-25 15:50:00",4701
"2026-02-25 16:00:00",5089
"2026-02-25 16:10:00",5452
"2026-02-25 16:20:00",6053
"2026-02-25 16:30:00",6529
"2026-02-25 16:40:00",7239
"2026-02-25 16:50:00",7634
"2026-02-25 17:00:00",8264
"2026-02-25 17:10:00",8817
"2026-02-25 17:20:00",9246
"2026-02-25 17:30:00",9767
"2026-02-25 17:40:00",10148
"2026-02-25 17:50:00",10525
"2026-02-25 18:00:00",10695
"2026-02-25 18:10:00",10872
"2026-02-25 18:20:00",11254
"2026-02-25 18:30:00",11686
"2026-02-25 18:40:00",11998
"2026-02-25 18:50:00",12204
"2026-02-25 19:00:00",12566
"2026-02-25 19:10:00",12942
"2026-02-25 19:20:00",13190
"2026-02-25 19:30:00",13515
"2026-02-25 19:40:00",13621
"2026-02-25 19:50:00",13749
"2026-02-25 20:00:00",13919
"2026-02-25 20:10:00",14482
"2026-02-25 20:20:00",14640
"2026-02-25 20:30:00",14756
"2026-02-25 20:40:00",14773
"2026-02-25 20:50:00",14729
"2026-02-25 21:00:00",14539
"2026-02-25 21:10:00",14410
"2026-02-25 21:20:00",14412
"2026-02-25 21:30:00",14002
"2026-02-25 21:40:00",13507
"2026-02-25 21:50:00",13127
"2026-02-25 22:00:00",12521
"2026-02-25 22:10:00",11649
"2026-02-25 22:20:00",11048
"2026-02-25 22:30:00",10497
"2026-02-25 22:40:00",9978
"2026-02-25 22:50:00",9330
"2026-02-25 23:00:00",8862
"2026-02-25 23:10:00",8063
"2026-02-25 23:20:00",7626
"2026-02-25 23:30:00",7075
"2026-02-25 23:40:00",6542
"2026-02-25 23:50:00",6205
"2026-02-26 00:00:00",5839
"2026-02-26 00:10:00",5375
"2026-02-26 00:20:00",4932
"2026-02-26 00:30:00",4724
"2026-02-26 00:40:00",4327
"2026-02-26 00:50:00",4013
"2026-02-26 01:00:00",3845
"2026-02-26 01:10:00",3547
"2026-02-26 01:20:00",3166
"2026-02-26 01:30:00",2978
"2026-02-26 01:40:00",2743
"2026-02-26 01:50:00",2656
"2026-02-26 02:00:00",2452
"2026-02-26 02:10:00",2291
"2026-02-26 02:20:00",2072
"2026-02-26 02:30:00",1913
"2026-02-26 02:40:00",1796
"2026-02-26 02:50:00",1683
"2026-02-26 03:00:00",1649
"2026-02-26 03:10:00",1530
"2026-02-26 03:20:00",1440
"2026-02-26 03:30:00",1391
"2026-02-26 03:40:00",1281
"2026-02-26 03:50:00",1227
"2026-02-26 04:00:00",1214
"2026-02-26 04:10:00",1093
"2026-02-26 04:20:00",1072
"2026-02-26 04:30:00",991
"2026-02-26 04:40:00",944
"2026-02-26 04:50:00",871
"2026-02-26 05:00:00",897
"2026-02-26 05:10:00",849
"2026-02-26 05:20:00",806
"2026-02-26 05:30:00",804
"2026-02-26 05:40:00",799
"2026-02-26 07:10:00",1568
